down 1.0	d 'aU n
ice 1.0	'aI s
beatlemania 1.0	b 'i t V l V m 'e I n i V
impact 1.0	I m p '{ k t
say 1.0	s 'e I
valise 1.0	v V l 'i s
cars 1.0	k 'A r z
order 1.0	'O r d 3
tons 1.0	t 'V n z
contact 1.0	k 'A n t { k t
waving 1.0	w 'e I v I N
bag 1.0	b '{ g
canada 1.0	k '{ n V d V
theirs 1.0	D 'E r z
right 1.0	r 'aI t
tableware 1.0	t 'e I b V l w E r
them 1.0	D 'E m
bookcase 1.0	b 'U k k e I s
trash 1.0	t r '{ S
alex 1.0	'{ l V k s
compiler 1.0	k V m p 'aI l 3
microcomputer 1.0	m 'aI k r o U k V m p j 'u t 3
de 1.0	d 'i
mars 1.0	m 'A r z
big 1.0	b 'I g
behind 1.0	b I h 'aI n d
tron 1.0	t r 'A n
cloth 1.0	k l 'O T
smartphone 1.0	s m 'A r t f o U n
blackberry 1.0	b l '{ k b E r i
children 1.0	tS 'I l d r V n
exit 1.0	'E g z I t
cascade 1.0	k { s k 'e I d
drive 1.0	d r 'aI v
lead 1.0	l 'E d
dish 1.0	d 'I S
is 1.0	'I z
test 1.0	t 'E s t
thousand 1.0	T 'aU z V n d
pdf 1.0	p i d i 'E f
turing 1.0	t 'U r I N
kitchen 1.0	k 'I tS V n
pass 1.0	p '{ s
tray 1.0	t r 'e I
give 1.0	g 'I v
pringles 1.0	p r 'I N g V l z
what's 1.0	w 'V ts
you 1.0	j 'u
bug 1.0	b 'V g
charlie 1.0	tS 'A r l i
canadians 1.0	k V n 'e I d i V n z
yours 1.0	j 'U r z
put 1.0	p 'U t
academy 1.0	V k '{ d V m i
month 1.0	m 'V n T
threat 1.0	T r 'E t
largest 1.0	l 'A r dZ V s t
knowledge 1.0	n 'A l V dZ
front 1.0	f r 'V n t
containers 1.0	k V n t 'e I n 3 z
a 1.0	V
grasp 1.0	g r '{ s p
award 1.0	V w 'O r d
waste 1.0	w 'e I s t
we 1.0	w 'i
chocolate 1.0	tS 'O k l V t
glace 1.0	g l 'e I s
their 1.0	D 'E r
jedi 1.0	dZ 'E d i
coined 1.0	k 'OI n d
are 1.0	'A r
paradox 1.0	p 'E r V d A k s
london 1.0	l 'V n d V n
michael 1.0	m 'aI k V l
serve 1.0	s '3 v
invented 1.0	I n v 'E n t V d
from 1.0	f r 'V m
women 1.0	w 'I m V n
medals 1.0	m 'E d V l z
objects 1.0	'A b dZ E k ts
side 1.0	s 'aI d
arm 1.0	'A r m
small 1.0	s m 'O l
face 1.0	f 'e I s
standing 1.0	s t '{ n d I N
world 1.0	w '3 l d
what 1.0	w 'V t
to 1.0	t 'u
he 1.0	h 'i
girls 1.0	g '3 l z
ai 1.0	'aI
object 1.0	'A b dZ E k t
the 1.0	D V
bed 1.0	b 'E d
yourself 1.0	j 3 s 'E l f
canadian 1.0	k V n 'e I d i V n
named 1.0	n 'e I m d
dump 1.0	d 'V m p
longest 1.0	l 'O N g V s t
term 1.0	t '3 m
taxi 1.0	t '{ k s i
motion 1.0	m 'o U S V n
hundred 1.0	h 'V n d r V d
fruits 1.0	f r 'u ts
pose 1.0	p 'o U z
nominated 1.0	n 'A m V n e I t V d
can 1.0	k '{ n
up 1.0	'V p
disk 1.0	d 'I s k
three 1.0	T r 'i
clean 1.0	k l 'i n
go 1.0	g 'o U
him 1.0	h 'I m
sitting 1.0	s 'I t I N
located 1.0	l 'o U k e I t V d
wasn't 1.0	w 'A z V n t
look 1.0	l 'U k
thinnest 1.0	T 'I n I s t
program 1.0	p r 'o U g r { m
they 1.0	D 'e I
escort 1.0	E s k 'O r t
jennifer 1.0	dZ 'E n V f 3
storage 1.0	s t 'O r V dZ
long 1.0	l 'O N
snacks 1.0	s n '{ k s
it 1.0	'I t
there 1.0	D 'E r
why 1.0	w 'aI
files 1.0	f 'aI l z
robert 1.0	r 'A b 3 t
by 1.0	b 'aI
sprite 1.0	s p r 'aI t
cupboard 1.0	k 'V b 3 d
programming 1.0	p r 'o U g r { m I N
